index,time
24447,1685156570501
24449,1685156570502
24451,1685156570504
24453,1685156570509
24455,1685156570512
24457,1685156570514
24459,1685156570516
24461,1685156570517
24463,1685156570517
24465,1685156570518
24467,1685156570522
24469,1685156570523
24471,1685156570524
24473,1685156570525
24475,1685156570526
24477,1685156570528
24479,1685156570531
24481,1685156570532
24483,1685156570535
24485,1685156570538
24487,1685156570541
24489,1685156570546
24491,1685156570547
24492,1685156570547
24495,1685156570551
24497,1685156570552
24499,1685156570553
24501,1685156570554
24503,1685156570555
24505,1685156570556
24507,1685156570557
24509,1685156570558
24511,1685156570559
24513,1685156570562
24515,1685156570564
24517,1685156570566
24518,1685156570566
24521,1685156570567
24523,1685156570569
24524,1685156570569
24527,1685156570572
24529,1685156570575
24531,1685156570579
24533,1685156570587
24535,1685156570591
24537,1685156570595
24539,1685156570600
24540,1685156570600
24543,1685156570610
24545,1685156570615
24546,1685156570616
24549,1685156570628
24550,1685156570629
24553,1685156570635
24555,1685156570637
24557,1685156570639
24559,1685156570640
24561,1685156570642
24563,1685156570645
24565,1685156570646
24567,1685156570648
24569,1685156570649
24571,1685156570650
24573,1685156570651
24575,1685156570651
24577,1685156570662
24579,1685156570663
24581,1685156570666
24583,1685156570668
24585,1685156570669
24586,1685156570669
24589,1685156570672
24591,1685156570672
24593,1685156570677
24595,1685156570677
24597,1685156570681
24599,1685156570682
24600,1685156570682
24603,1685156570683
24605,1685156570685
24606,1685156570686
24609,1685156570687
24611,1685156570688
24613,1685156570690
24615,1685156570693
24617,1685156570697
24618,1685156570697
24621,1685156570698
24623,1685156570701
24625,1685156570702
24626,1685156570703
24629,1685156570705
24631,1685156570706
24633,1685156570709
24635,1685156570712
24637,1685156570714
24639,1685156570717
24641,1685156570721
24643,1685156570722
24645,1685156570728
24647,1685156570729
24649,1685156570735
24650,1685156570735
24653,1685156570740
24655,1685156570743
24657,1685156570745
24658,1685156570745
24661,1685156570747
24663,1685156570755
24665,1685156570756
24667,1685156570758
24669,1685156570761
24671,1685156570762
24673,1685156570763
24674,1685156570763
24677,1685156570766
24678,1685156570766
24681,1685156570772
24683,1685156570776
24685,1685156570781
24687,1685156570783
24689,1685156570788
24691,1685156570790
24693,1685156570793
24695,1685156570797
24697,1685156570800
24699,1685156570801
24701,1685156570802
24703,1685156570803
24705,1685156570804
24707,1685156570811
24709,1685156570813
24711,1685156570824
24713,1685156570835
24715,1685156570838
24717,1685156570838
24718,1685156570839
24721,1685156570843
24723,1685156570848
24725,1685156570850
24726,1685156570851
24729,1685156570855
24731,1685156570856
24733,1685156570857
24735,1685156570859
24736,1685156570859
24739,1685156570862
24741,1685156570863
24743,1685156570867
24744,1685156570867
24747,1685156570872
24749,1685156570875
24751,1685156570876
24753,1685156570890
24755,1685156570894
24757,1685156570895
24759,1685156570896
24761,1685156570897
24763,1685156570900
24765,1685156570901
24767,1685156570903
24769,1685156570904
24771,1685156570916
24772,1685156570916
24774,1685156570919
24775,1685156570920
24778,1685156570923
24780,1685156570924
24782,1685156570926
24784,1685156570927
24785,1685156570927
24788,1685156570930
24790,1685156570932
24792,1685156570932
24794,1685156570934
24796,1685156570935
24798,1685156570938
24800,1685156570943
24802,1685156570945
24804,1685156570951
24806,1685156570957
24808,1685156570961
24810,1685156570963
24811,1685156570963
24814,1685156570972
24816,1685156570976
24817,1685156570976
24820,1685156570977
24822,1685156570978
24824,1685156570981
24826,1685156570982
24828,1685156570984
24830,1685156570987
24832,1685156570995
24834,1685156570998
24836,1685156570999
24838,1685156571003
24839,1685156571007
24842,1685156571011
24844,1685156571013
24846,1685156571013
24848,1685156571014
24850,1685156571015
24851,1685156571016
24854,1685156571017
24856,1685156571018
24858,1685156571021
24860,1685156571023
24862,1685156571025
24864,1685156571027
24866,1685156571030
24868,1685156571033
24870,1685156571039
24872,1685156571042
24874,1685156571043
24876,1685156571047
24878,1685156571049
24880,1685156571051
24882,1685156571052
24884,1685156571053
24886,1685156571053
24888,1685156571055
24890,1685156571056
24892,1685156571057
24894,1685156571058
24896,1685156571062
24898,1685156571064
24899,1685156571064
24902,1685156571067
24904,1685156571068
24906,1685156571070
24908,1685156571073
24910,1685156571075
24912,1685156571076
24914,1685156571079
24915,1685156571079
24918,1685156571089
24920,1685156571093
24922,1685156571095
24924,1685156571096
24926,1685156571099
24928,1685156571102
24930,1685156571106
24932,1685156571107
24934,1685156571112
24935,1685156571113
24938,1685156571118
24940,1685156571121
24942,1685156571126
24944,1685156571127
24946,1685156571128
24947,1685156571128
24950,1685156571130
24952,1685156571130
24954,1685156571133
24956,1685156571133
24958,1685156571136
24960,1685156571137
24962,1685156571139
24964,1685156571141
24966,1685156571151
24967,1685156571151
24970,1685156571154
24971,1685156571154
24973,1685156571161
24975,1685156571162
24976,1685156571162
24979,1685156571165
24981,1685156571165
24982,1685156571166
24985,1685156571169
24987,1685156571173
24989,1685156571175
24991,1685156571176
24992,1685156571176
24995,1685156571177
24997,1685156571182
24999,1685156571183
25001,1685156571186
25002,1685156571186
25005,1685156571192
25007,1685156571193
25009,1685156571194
25011,1685156571194
25013,1685156571195
25015,1685156571199
25017,1685156571200
25018,1685156571201
25021,1685156571202
25023,1685156571206
25024,1685156571206
25027,1685156571210
25029,1685156571211
25030,1685156571211
25033,1685156571212
25034,1685156571212
25037,1685156571215
25039,1685156571215
25041,1685156571224
25042,1685156571224
25045,1685156571225
25047,1685156571231
25048,1685156571231
25051,1685156571235
25053,1685156571236
25055,1685156571239
25057,1685156571242
25058,1685156571243
25060,1685156571243
25063,1685156571248
25064,1685156571248
25067,1685156571249
25069,1685156571251
25071,1685156571251
25073,1685156571253
25075,1685156571254
25077,1685156571256
25079,1685156571259
25081,1685156571264
25083,1685156571277
25085,1685156571278
25087,1685156571280
25089,1685156571282
25091,1685156571285
25093,1685156571287
25095,1685156571290
25097,1685156571291
25098,1685156571291
25101,1685156571292
25103,1685156571293
25105,1685156571295
25107,1685156571303
25109,1685156571315
25111,1685156571325
25112,1685156571325
25115,1685156571328
25117,1685156571329
25118,1685156571329
25121,1685156571333
25123,1685156571333
25125,1685156571337
25127,1685156571339
25129,1685156571340
25131,1685156571341
25133,1685156571342
25134,1685156571342
25137,1685156571344
